0, 0, 0.707107, 0.707107
0, 0, -0.707107, -0.707107
0.0356151, 3.11357e-09, -0.688626, -0.724241
0.0711624, 6.22121e-09, -0.668835, -0.739997
0.106574, 9.31701e-09, -0.64777, -0.754344
0.141783, 1.23951e-08, -0.625473, -0.767256
0.176722, 1.54495e-08, -0.601984, -0.778707
0.211325, 1.84746e-08, -0.57735, -0.788675
0.245525, 2.14645e-08, -0.551617, -0.797142
0.279258, 2.44135e-08, -0.524834, -0.804092
0.31246, 2.73161e-08, -0.497052, -0.809511
0.345066, 3.01667e-08, -0.468323, -0.81339
0.377016, 3.29598e-08, -0.438703, -0.815719
0.408248, 3.56902e-08, -0.408248, -0.816497
0.438703, 3.83527e-08, -0.377016, -0.815719
0.468323, 4.09421e-08, -0.345066, -0.81339
0.497052, 4.34536e-08, -0.31246, -0.809511
0.524834, 4.58824e-08, -0.279258, -0.804092
0.551617, 4.82239e-08, -0.245525, -0.797142
0.57735, 5.04736e-08, -0.211325, -0.788675
0.601984, 5.26272e-08, -0.176722, -0.778707
0.625473, 5.46806e-08, -0.141783, -0.767256
0.64777, 5.66299e-08, -0.106574, -0.754344
0.668835, 5.84714e-08, -0.0711623, -0.739997
0.688626, 6.02016e-08, -0.035615, -0.724241
